ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness
209331,M. Salah,29,https://cdn.sofifa.com/players/209/331/22_60.png,Egypt,https://cdn.sofifa.com/flags/eg.png,89,89,Liverpool,https://cdn.sofifa.com/teams/9/30.png,101.0,€270K,2211,Left,4.0,3.0,4.0,High/ Medium,Unique,Yes,"<span class=""pos pos23"">RW",11.0,"Jul 1, 2017",,2023,175cm,71kg,79.0,91.0,59.0,84.0,81.0,90.0,83.0,69.0,75.0,89.0,89.0,91.0,91.0,92.0,91.0,82.0,69.0,85.0,75.0,84.0,63.0,55.0,91.0,83.0,86.0,90.0,43.0,41.0,14.0,14.0,9.0,11.0,14.0,ST,89.0,€186.9M,38.0
208722,S. Mané,29,https://cdn.sofifa.com/players/208/722/22_60.png,Senegal,https://cdn.sofifa.com/flags/sn.png,89,89,Liverpool,https://cdn.sofifa.com/teams/9/30.png,101.0,€270K,2192,Right,4.0,4.0,4.0,High/ Medium,Unique,Yes,"<span class=""pos pos27"">LW",10.0,"Jul 1, 2016",,2023,175cm,69kg,78.0,86.0,84.0,84.0,75.0,90.0,77.0,64.0,71.0,88.0,93.0,90.0,93.0,91.0,88.0,83.0,87.0,85.0,72.0,80.0,75.0,35.0,90.0,84.0,71.0,84.0,42.0,38.0,10.0,10.0,15.0,7.0,14.0,ST,89.0,€186.9M,42.0
203376,V. van Dijk,29,https://cdn.sofifa.com/players/203/376/22_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,89,89,Liverpool,https://cdn.sofifa.com/teams/9/30.png,86.0,€230K,2104,Right,4.0,3.0,2.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos6"">LCB",4.0,"Jan 1, 2018",,2025,193cm,92kg,53.0,52.0,87.0,79.0,45.0,70.0,60.0,70.0,86.0,76.0,66.0,88.0,61.0,87.0,53.0,81.0,90.0,69.0,92.0,64.0,83.0,90.0,47.0,65.0,62.0,90.0,92.0,86.0,13.0,10.0,13.0,11.0,11.0,CB,89.0,€159.1M,92.0
212831,Alisson,28,https://cdn.sofifa.com/players/212/831/22_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,89,90,Liverpool,https://cdn.sofifa.com/teams/9/30.png,82.0,€190K,1393,Right,3.0,3.0,1.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos0"">GK",1.0,"Jul 19, 2018",,2027,191cm,91kg,17.0,13.0,29.0,45.0,20.0,27.0,19.0,18.0,44.0,30.0,56.0,47.0,40.0,87.0,37.0,63.0,52.0,32.0,78.0,14.0,27.0,11.0,13.0,66.0,23.0,65.0,19.0,16.0,86.0,86.0,84.0,90.0,89.0,GK,89.0,€157.9M,15.0
231281,T. Alexander-Arnold,22,https://cdn.sofifa.com/players/231/281/22_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,87,92,Liverpool,https://cdn.sofifa.com/teams/9/30.png,114.0,€150K,2227,Right,3.0,4.0,3.0,High/ Medium,Unique,Yes,"<span class=""pos pos3"">RB",66.0,"Oct 7, 2015",,2025,180cm,69kg,92.0,60.0,69.0,86.0,62.0,78.0,87.0,85.0,90.0,86.0,77.0,80.0,73.0,82.0,73.0,82.0,66.0,88.0,63.0,75.0,74.0,82.0,77.0,87.0,55.0,81.0,83.0,79.0,14.0,15.0,14.0,6.0,7.0,CB,87.0,€219.5M,80.0
216267,A. Robertson,27,https://cdn.sofifa.com/players/216/267/22_60.png,Scotland,https://cdn.sofifa.com/flags/gb-sct.png,87,88,Liverpool,https://cdn.sofifa.com/teams/9/30.png,83.5,€175K,2163,Left,3.0,2.0,3.0,High/ High,Unique,Yes,"<span class=""pos pos7"">LB",26.0,"Jul 21, 2017",,2026,178cm,64kg,88.0,55.0,67.0,82.0,32.0,81.0,82.0,71.0,76.0,83.0,83.0,85.0,78.0,85.0,74.0,76.0,62.0,95.0,65.0,65.0,85.0,83.0,77.0,80.0,55.0,83.0,84.0,81.0,11.0,8.0,10.0,7.0,14.0,CB,87.0,€160.7M,83.0
189509,Thiago,30,https://cdn.sofifa.com/players/189/509/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,86,Liverpool,https://cdn.sofifa.com/teams/9/30.png,65.0,€180K,2199,Right,3.0,3.0,5.0,Medium/ Medium,Normal (170-185),Yes,"<span class=""pos pos15"">LCM",6.0,"Sep 18, 2020",,2024,174cm,70kg,78.0,68.0,54.0,90.0,82.0,90.0,85.0,77.0,89.0,92.0,72.0,55.0,91.0,84.0,90.0,75.0,80.0,74.0,59.0,73.0,72.0,82.0,75.0,85.0,75.0,88.0,71.0,68.0,6.0,11.0,7.0,9.0,13.0,MF,86.0,€120.3M,67.0
209499,Fabinho,27,https://cdn.sofifa.com/players/209/499/22_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,86,88,Liverpool,https://cdn.sofifa.com/teams/9/30.png,73.5,€165K,2163,Right,3.0,2.0,3.0,Medium/ High,Unique,Yes,"<span class=""pos pos10"">CDM",3.0,"Jul 1, 2018",,2026,188cm,78kg,75.0,63.0,75.0,84.0,47.0,78.0,71.0,53.0,82.0,81.0,65.0,68.0,64.0,86.0,64.0,81.0,75.0,88.0,81.0,70.0,85.0,87.0,70.0,75.0,90.0,84.0,87.0,85.0,13.0,12.0,6.0,8.0,8.0,MF,86.0,€141.5M,86.0
201942,Roberto Firmino,29,https://cdn.sofifa.com/players/201/942/22_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,85,85,Liverpool,https://cdn.sofifa.com/teams/9/30.png,54.0,€185K,2180,Right,3.0,4.0,5.0,High/ High,Unique,Yes,"<span class=""pos pos21"">CF",9.0,"Jul 6, 2015",,2023,181cm,76kg,73.0,78.0,78.0,84.0,83.0,89.0,81.0,65.0,76.0,90.0,77.0,77.0,85.0,86.0,86.0,79.0,81.0,87.0,74.0,76.0,75.0,58.0,82.0,83.0,72.0,88.0,64.0,42.0,8.0,11.0,9.0,6.0,10.0,CF,85.0,€99.9M,55.0
183711,J. Henderson,31,https://cdn.sofifa.com/players/183/711/22_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,84,84,Liverpool,https://cdn.sofifa.com/teams/9/30.png,29.5,€140K,2198,Right,3.0,3.0,3.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos13"">RCM",14.0,"Jun 9, 2011",,2025,182cm,80kg,82.0,73.0,65.0,85.0,71.0,78.0,80.0,74.0,87.0,83.0,67.0,66.0,69.0,85.0,68.0,77.0,78.0,86.0,78.0,75.0,83.0,81.0,78.0,80.0,64.0,82.0,81.0,76.0,7.0,13.0,7.0,9.0,13.0,MF,84.0,€54.6M,79.0
197061,J. Matip,29,https://cdn.sofifa.com/players/197/061/22_60.png,Cameroon,https://cdn.sofifa.com/flags/cm.png,83,83,Liverpool,https://cdn.sofifa.com/teams/9/30.png,30.5,€130K,1870,Right,2.0,2.0,2.0,Medium/ Medium,Lean (185+),Yes,"<span class=""pos pos4"">RCB",32.0,"Jul 1, 2016",,2024,194cm,90kg,54.0,36.0,84.0,77.0,50.0,69.0,63.0,22.0,74.0,72.0,50.0,65.0,51.0,84.0,42.0,66.0,75.0,69.0,81.0,48.0,84.0,86.0,48.0,72.0,42.0,80.0,86.0,81.0,11.0,15.0,10.0,7.0,10.0,CB,83.0,€56.4M,86.0
224458,Diogo Jota,24,https://cdn.sofifa.com/players/224/458/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,82,87,Liverpool,https://cdn.sofifa.com/teams/9/30.png,46.0,€120K,2148,Right,2.0,5.0,4.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",20.0,"Sep 19, 2020",,2025,178cm,73kg,71.0,84.0,77.0,75.0,78.0,85.0,77.0,58.0,71.0,85.0,88.0,81.0,87.0,84.0,86.0,84.0,76.0,81.0,71.0,75.0,85.0,56.0,85.0,75.0,63.0,83.0,57.0,45.0,7.0,12.0,15.0,9.0,11.0,ST,84.0,€88.6M,54.0
225100,J. Gomez,24,https://cdn.sofifa.com/players/225/100/22_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,82,88,Liverpool,https://cdn.sofifa.com/teams/9/30.png,43.5,€100K,1809,Right,2.0,3.0,3.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos28"">SUB",12.0,"Jun 20, 2015",,2024,188cm,77kg,69.0,26.0,74.0,78.0,24.0,67.0,41.0,29.0,65.0,73.0,75.0,85.0,63.0,82.0,65.0,41.0,76.0,67.0,83.0,26.0,81.0,84.0,51.0,60.0,26.0,74.0,84.0,82.0,8.0,13.0,14.0,7.0,7.0,CB,83.0,€89.2M,83.0
195086,20 D. Lovren,29,https://cdn.sofifa.com/players/195/086/20_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,80,80,Liverpool,https://cdn.sofifa.com/teams/9/30.png,12.5,€90K,1714,Right,2.0,4.0,2.0,Medium/ High,Normal (185+),Yes,"<span class=""pos pos28"">SUB",6.0,"Jul 27, 2014",,2021,188cm,84kg,59.0,33.0,80.0,68.0,42.0,63.0,26.0,18.0,66.0,67.0,52.0,54.0,50.0,75.0,41.0,63.0,81.0,64.0,82.0,34.0,86.0,81.0,21.0,56.0,52.0,69.0,82.0,84.0,14.0,14.0,13.0,10.0,7.0,CB,80.0,€23.1M,76.0
220971,N. Keïta,26,https://cdn.sofifa.com/players/220/971/22_60.png,Guinea,https://cdn.sofifa.com/flags/gn.png,80,83,Liverpool,https://cdn.sofifa.com/teams/9/30.png,27.5,€110K,2064,Right,2.0,4.0,4.0,Medium/ Medium,Lean (170-185),Yes,"<span class=""pos pos28"">SUB",8.0,"Jul 1, 2018",,2023,172cm,64kg,62.0,74.0,42.0,83.0,71.0,85.0,64.0,70.0,75.0,86.0,77.0,65.0,88.0,80.0,90.0,76.0,52.0,73.0,59.0,73.0,78.0,76.0,74.0,80.0,58.0,81.0,64.0,62.0,7.0,14.0,15.0,14.0,9.0,MF,82.0,€52.9M,68.0
138412,J. Milner,35,https://cdn.sofifa.com/players/138/412/22_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,79,79,Liverpool,https://cdn.sofifa.com/teams/9/30.png,7.0,€76K,2141,Right,2.0,4.0,3.0,Medium/ High,Stocky (170-185),Yes,"<span class=""pos pos28"">SUB",7.0,"Jul 1, 2015",,2022,175cm,70kg,85.0,62.0,65.0,82.0,76.0,76.0,81.0,75.0,80.0,81.0,60.0,52.0,68.0,84.0,72.0,82.0,62.0,77.0,70.0,70.0,86.0,78.0,71.0,77.0,89.0,84.0,80.0,78.0,12.0,9.0,10.0,8.0,6.0,CDM,80.0,€13M,77.0
198784,A. Oxlade-Chamberlain,27,https://cdn.sofifa.com/players/198/784/22_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,79,79,Liverpool,https://cdn.sofifa.com/teams/9/30.png,18.5,€100K,2122,Right,2.0,4.0,4.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",15.0,"Aug 31, 2017",,2023,175cm,70kg,78.0,70.0,39.0,80.0,60.0,83.0,73.0,60.0,75.0,83.0,82.0,81.0,79.0,78.0,87.0,83.0,69.0,80.0,70.0,78.0,77.0,73.0,79.0,79.0,69.0,77.0,72.0,68.0,16.0,9.0,6.0,9.0,9.0,CAM,80.0,€34.2M,68.0
237678,I. Konaté,22,https://cdn.sofifa.com/players/237/678/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,78,86,Liverpool,https://cdn.sofifa.com/teams/9/30.png,29.5,€73K,1705,Right,2.0,2.0,3.0,Medium/ High,Normal (185+),Yes,"<span class=""pos pos28"">SUB",5.0,"Jul 1, 2021",,2026,194cm,95kg,38.0,29.0,77.0,75.0,28.0,67.0,32.0,27.0,69.0,69.0,67.0,75.0,60.0,71.0,54.0,45.0,74.0,61.0,83.0,31.0,77.0,78.0,37.0,51.0,41.0,74.0,85.0,79.0,9.0,7.0,9.0,9.0,15.0,CB,80.0,€60.5M,76.0
213135,D. Origi,26,https://cdn.sofifa.com/players/213/135/22_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,76,79,Liverpool,https://cdn.sofifa.com/teams/9/30.png,10.0,€88K,1845,Right,2.0,4.0,4.0,High/ Medium,Lean (185+),Yes,"<span class=""pos pos28"">SUB",27.0,"Jul 29, 2014",,2024,189cm,90kg,69.0,76.0,74.0,73.0,70.0,76.0,54.0,40.0,59.0,77.0,73.0,84.0,71.0,76.0,64.0,80.0,76.0,70.0,77.0,70.0,69.0,28.0,77.0,69.0,65.0,77.0,24.0,18.0,15.0,13.0,16.0,11.0,15.0,ST,78.0,€19.3M,16.0
203775,L. Karius,28,https://cdn.sofifa.com/players/203/775/22_60.png,Germany,https://cdn.sofifa.com/flags/de.png,75,76,Liverpool,https://cdn.sofifa.com/teams/9/30.png,4.5,€61K,1243,Right,2.0,3.0,1.0,Medium/ Medium,Normal (185+),Yes,"<span class=""pos pos29"">RES",22.0,"Jul 1, 2016",,2022,189cm,87kg,14.0,18.0,14.0,38.0,14.0,16.0,12.0,14.0,41.0,23.0,55.0,54.0,51.0,72.0,43.0,56.0,74.0,36.0,64.0,16.0,21.0,13.0,8.0,50.0,19.0,60.0,11.0,13.0,80.0,68.0,75.0,72.0,79.0,GK,75.0,€8.7M,9.0
232223,K. Tsimikas,25,https://cdn.sofifa.com/players/232/223/22_60.png,Greece,https://cdn.sofifa.com/flags/gr.png,75,79,Liverpool,https://cdn.sofifa.com/teams/9/30.png,7.0,€67K,1978,Left,1.0,3.0,3.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",21.0,"Aug 10, 2020",,2025,179cm,68kg,78.0,49.0,53.0,69.0,39.0,71.0,73.0,68.0,66.0,72.0,87.0,80.0,78.0,72.0,73.0,69.0,74.0,77.0,71.0,64.0,76.0,68.0,69.0,64.0,54.0,67.0,73.0,71.0,8.0,12.0,8.0,13.0,10.0,LB,75.0,€13.5M,69.0
226627,T. Minamino,26,https://cdn.sofifa.com/players/226/627/22_60.png,Japan,https://cdn.sofifa.com/flags/jp.png,75,76,Liverpool,https://cdn.sofifa.com/teams/9/30.png,6.5,€84K,1919,Right,1.0,4.0,3.0,High/ Medium,Lean (170-185),No,"<span class=""pos pos29"">RES",18.0,"Jan 1, 2020",,2024,174cm,67kg,66.0,75.0,50.0,71.0,70.0,81.0,73.0,69.0,63.0,78.0,83.0,75.0,89.0,71.0,86.0,71.0,76.0,76.0,55.0,73.0,61.0,49.0,70.0,70.0,72.0,79.0,30.0,26.0,9.0,12.0,8.0,15.0,14.0,RW,75.0,€12.5M,32.0
246174,H. Elliott,18,https://cdn.sofifa.com/players/246/174/22_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,73,87,Liverpool,https://cdn.sofifa.com/teams/9/30.png,7.0,€29K,1687,Left,1.0,4.0,4.0,Medium/ Medium,Lean (170-),No,"<span class=""pos pos28"">SUB",67.0,"Jul 28, 2019",,2025,170cm,64kg,72.0,64.0,40.0,73.0,48.0,77.0,56.0,57.0,68.0,77.0,82.0,77.0,87.0,69.0,86.0,60.0,40.0,66.0,33.0,62.0,32.0,30.0,67.0,76.0,59.0,70.0,29.0,21.0,10.0,10.0,6.0,14.0,7.0,CAM,75.0,€17.3M,32.0
