ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness
192985,K. De Bruyne,30,https://cdn.sofifa.com/players/192/985/22_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,91,91,Manchester City,https://cdn.sofifa.com/teams/10/30.png,125.5,€350K,2304,Right,4.0,5.0,4.0,High/ High,Unique,Yes,"<span class=""pos pos13"">RCM",17.0,"Aug 30, 2015",,2025,181cm,70kg,94.0,82.0,55.0,94.0,82.0,88.0,85.0,83.0,93.0,91.0,76.0,76.0,79.0,91.0,78.0,91.0,63.0,89.0,74.0,91.0,76.0,66.0,88.0,94.0,83.0,89.0,65.0,53.0,15.0,13.0,5.0,10.0,13.0,MF,91.0,€232.2M,68.0
210257,Ederson,27,https://cdn.sofifa.com/players/210/257/22_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,89,91,Manchester City,https://cdn.sofifa.com/teams/10/30.png,94.0,€200K,1583,Left,3.0,3.0,1.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos0"">GK",31.0,"Jul 1, 2017",,2026,188cm,86kg,20.0,14.0,14.0,61.0,18.0,23.0,15.0,20.0,66.0,40.0,64.0,63.0,60.0,88.0,48.0,70.0,66.0,41.0,78.0,18.0,38.0,27.0,20.0,70.0,51.0,70.0,15.0,8.0,87.0,82.0,93.0,88.0,88.0,GK,89.0,€181M,29.0
202652,R. Sterling,26,https://cdn.sofifa.com/players/202/652/22_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,88,89,Manchester City,https://cdn.sofifa.com/teams/10/30.png,107.5,€290K,2113,Right,4.0,3.0,4.0,High/ Medium,Unique,Yes,"<span class=""pos pos28"">SUB",7.0,"Jul 14, 2015",,2023,170cm,69kg,79.0,85.0,46.0,83.0,67.0,87.0,79.0,72.0,69.0,86.0,95.0,88.0,94.0,90.0,93.0,78.0,57.0,79.0,64.0,83.0,59.0,30.0,91.0,82.0,67.0,78.0,53.0,47.0,15.0,12.0,12.0,15.0,9.0,ST,88.0,€206.9M,47.0
239818,Rúben Dias,24,https://cdn.sofifa.com/players/239/818/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,87,91,Manchester City,https://cdn.sofifa.com/teams/10/30.png,102.5,€170K,1886,Right,3.0,4.0,2.0,Medium/ High,Normal (185+),Yes,"<span class=""pos pos4"">RCB",3.0,"Sep 29, 2020",,2027,187cm,82kg,54.0,29.0,87.0,81.0,32.0,64.0,46.0,48.0,74.0,74.0,57.0,65.0,59.0,87.0,56.0,74.0,78.0,88.0,88.0,22.0,92.0,85.0,39.0,51.0,45.0,81.0,89.0,85.0,7.0,8.0,13.0,7.0,12.0,CB,89.0,€197.3M,90.0
212218,A. Laporte,27,https://cdn.sofifa.com/players/212/218/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,89,Manchester City,https://cdn.sofifa.com/teams/10/30.png,77.0,€185K,1976,Left,3.0,3.0,2.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos6"">LCB",14.0,"Jan 30, 2018",,2024,191cm,85kg,58.0,45.0,84.0,82.0,40.0,63.0,61.0,69.0,80.0,78.0,59.0,67.0,57.0,87.0,60.0,68.0,80.0,72.0,84.0,47.0,81.0,87.0,54.0,65.0,44.0,84.0,87.0,86.0,10.0,11.0,5.0,14.0,5.0,CB,88.0,€148.2M,86.0
218667,Bernardo Silva,26,https://cdn.sofifa.com/players/218/667/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,86,86,Manchester City,https://cdn.sofifa.com/teams/10/30.png,74.0,€200K,2128,Left,2.0,3.0,4.0,High/ High,Lean (170-185),Yes,"<span class=""pos pos28"">SUB",20.0,"Jul 1, 2017",,2025,173cm,64kg,85.0,77.0,51.0,86.0,70.0,92.0,84.0,67.0,76.0,90.0,83.0,77.0,94.0,84.0,92.0,76.0,51.0,93.0,54.0,76.0,70.0,54.0,83.0,84.0,68.0,87.0,63.0,45.0,9.0,10.0,14.0,12.0,9.0,MF,86.0,€136.9M,49.0
231866,Rodri,25,https://cdn.sofifa.com/players/231/866/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,89,Manchester City,https://cdn.sofifa.com/teams/10/30.png,81.0,€175K,2098,Right,3.0,4.0,3.0,Medium/ High,Normal (185+),Yes,"<span class=""pos pos10"">CDM",16.0,"Jul 4, 2019",,2024,191cm,82kg,63.0,64.0,78.0,85.0,59.0,78.0,65.0,54.0,83.0,82.0,60.0,62.0,65.0,80.0,65.0,83.0,72.0,87.0,82.0,76.0,76.0,83.0,75.0,81.0,46.0,83.0,84.0,78.0,10.0,10.0,7.0,14.0,8.0,MF,86.0,€155.9M,83.0
204485,R. Mahrez,30,https://cdn.sofifa.com/players/204/485/22_60.png,Algeria,https://cdn.sofifa.com/flags/dz.png,86,86,Manchester City,https://cdn.sofifa.com/teams/10/30.png,65.5,€220K,2035,Left,3.0,4.0,5.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos23"">RW",26.0,"Jul 10, 2018",,2023,179cm,67kg,81.0,82.0,48.0,83.0,76.0,91.0,85.0,78.0,75.0,91.0,84.0,79.0,92.0,81.0,88.0,80.0,56.0,75.0,57.0,80.0,48.0,39.0,80.0,84.0,70.0,84.0,31.0,22.0,15.0,9.0,13.0,11.0,6.0,ST,86.0,€121.2M,45.0
210514,João Cancelo,27,https://cdn.sofifa.com/players/210/514/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,86,87,Manchester City,https://cdn.sofifa.com/teams/10/30.png,71.5,€185K,2227,Right,3.0,4.0,4.0,High/ Medium,Unique,Yes,"<span class=""pos pos7"">LB",27.0,"Aug 7, 2019",,2025,182cm,74kg,86.0,68.0,72.0,85.0,62.0,85.0,84.0,69.0,78.0,85.0,86.0,84.0,80.0,85.0,78.0,80.0,72.0,90.0,62.0,75.0,73.0,80.0,80.0,83.0,46.0,85.0,82.0,80.0,6.0,9.0,15.0,14.0,14.0,CB,86.0,€137.6M,79.0
186942,I. Gündoğan,30,https://cdn.sofifa.com/players/186/942/22_60.png,Germany,https://cdn.sofifa.com/flags/de.png,85,85,Manchester City,https://cdn.sofifa.com/teams/10/30.png,51.5,€185K,2198,Right,3.0,4.0,4.0,High/ Medium,Normal (170-185),Yes,"<span class=""pos pos15"">LCM",8.0,"Jul 1, 2016",,2023,180cm,80kg,78.0,80.0,50.0,88.0,75.0,86.0,86.0,80.0,85.0,89.0,66.0,65.0,77.0,86.0,77.0,79.0,61.0,74.0,73.0,81.0,70.0,78.0,82.0,86.0,80.0,87.0,75.0,67.0,11.0,14.0,5.0,5.0,13.0,MF,85.0,€95.3M,76.0
