ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness
165153,K. Benzema,33,https://cdn.sofifa.com/players/165/153/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,89,89,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,66.0,€350K,2116,Right,4.0,4.0,4.0,Medium/ Medium,Normal (170-185),Yes,"<span class=""pos pos21"">CF",9.0,"Jul 9, 2009",,2023,185cm,81kg,75.0,90.0,89.0,86.0,86.0,87.0,81.0,73.0,73.0,90.0,77.0,75.0,79.0,91.0,72.0,85.0,79.0,78.0,82.0,79.0,63.0,39.0,90.0,87.0,84.0,90.0,24.0,18.0,13.0,11.0,5.0,5.0,7.0,ST,89.0,€135.3M,43.0
200145,Casemiro,29,https://cdn.sofifa.com/players/200/145/22_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,89,89,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,88.0,€310K,2219,Right,3.0,3.0,2.0,High/ High,Unique,Yes,"<span class=""pos pos10"">CDM",14.0,"Jul 11, 2013",,2025,185cm,84kg,58.0,64.0,79.0,84.0,62.0,69.0,62.0,74.0,84.0,79.0,60.0,69.0,61.0,87.0,66.0,88.0,87.0,89.0,90.0,81.0,91.0,87.0,75.0,80.0,66.0,84.0,88.0,87.0,13.0,14.0,16.0,12.0,12.0,MF,89.0,€180.4M,85.0
192119,T. Courtois,29,https://cdn.sofifa.com/players/192/119/22_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,89,91,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,85.5,€250K,1327,Left,4.0,3.0,1.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos0"">GK",1.0,"Aug 9, 2018",,2026,199cm,96kg,14.0,14.0,13.0,33.0,12.0,13.0,19.0,20.0,35.0,23.0,42.0,52.0,62.0,84.0,45.0,56.0,68.0,38.0,70.0,17.0,23.0,15.0,13.0,44.0,27.0,66.0,18.0,16.0,84.0,89.0,74.0,86.0,88.0,GK,89.0,€181.7M,20.0
182521,T. Kroos,31,https://cdn.sofifa.com/players/182/521/22_60.png,Germany,https://cdn.sofifa.com/flags/de.png,88,88,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,75.0,€310K,2148,Right,4.0,5.0,3.0,Medium/ Medium,Normal (170-185),Yes,"<span class=""pos pos15"">LCM",8.0,"Jul 17, 2014",,2023,183cm,76kg,88.0,77.0,58.0,93.0,82.0,80.0,86.0,84.0,93.0,88.0,55.0,52.0,63.0,90.0,71.0,89.0,32.0,75.0,72.0,86.0,60.0,80.0,76.0,90.0,73.0,88.0,73.0,60.0,10.0,11.0,13.0,7.0,10.0,MF,88.0,€153.8M,71.0
177003,L. Modrić,35,https://cdn.sofifa.com/players/177/003/22_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,87,87,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,32.0,€190K,2253,Right,4.0,4.0,4.0,Medium/ Medium,Lean (170-185),Yes,"<span class=""pos pos13"">RCM",10.0,"Aug 1, 2012",,2022,172cm,66kg,86.0,72.0,55.0,91.0,76.0,85.0,85.0,78.0,89.0,90.0,76.0,70.0,91.0,88.0,92.0,79.0,67.0,83.0,58.0,82.0,62.0,80.0,78.0,90.0,82.0,92.0,75.0,71.0,13.0,9.0,7.0,14.0,9.0,MF,87.0,€65.6M,70.0
204963,Carvajal,29,https://cdn.sofifa.com/players/204/963/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,85,85,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,47.5,€210K,2124,Right,3.0,3.0,3.0,High/ Medium,Unique,Yes,"<span class=""pos pos3"">RB",2.0,"Jul 5, 2013",,2025,173cm,73kg,82.0,51.0,72.0,83.0,49.0,78.0,76.0,47.0,74.0,83.0,79.0,80.0,79.0,83.0,81.0,68.0,77.0,89.0,74.0,47.0,84.0,81.0,75.0,74.0,45.0,81.0,82.0,84.0,13.0,13.0,15.0,9.0,15.0,CB,85.0,€97.4M,82.0
183277,E. Hazard,30,https://cdn.sofifa.com/players/183/277/22_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,85,85,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,52.0,€240K,2055,Right,4.0,4.0,4.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos28"">SUB",7.0,"Jul 1, 2019",,2024,175cm,74kg,77.0,78.0,61.0,85.0,82.0,89.0,83.0,79.0,81.0,88.0,86.0,82.0,87.0,79.0,89.0,82.0,55.0,77.0,61.0,77.0,54.0,41.0,83.0,84.0,87.0,89.0,27.0,22.0,11.0,12.0,6.0,8.0,8.0,ST,85.0,€106.6M,34.0
197445,D. Alaba,29,https://cdn.sofifa.com/players/197/445/22_60.png,Austria,https://cdn.sofifa.com/flags/at.png,84,84,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,35.5,€195K,2247,Left,4.0,4.0,3.0,Medium/ Medium,Normal (170-185),Yes,"<span class=""pos pos7"">LB",4.0,"Jul 1, 2021",,2026,180cm,78kg,80.0,60.0,74.0,85.0,67.0,77.0,77.0,85.0,80.0,84.0,78.0,77.0,76.0,88.0,77.0,82.0,81.0,75.0,76.0,78.0,74.0,85.0,73.0,78.0,79.0,85.0,83.0,82.0,5.0,7.0,14.0,15.0,9.0,CB,84.0,€72.8M,86.0
239053,F. Valverde,22,https://cdn.sofifa.com/players/239/053/22_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,83,89,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,58.0,€160K,2175,Right,1.0,4.0,3.0,High/ High,Unique,Yes,"<span class=""pos pos28"">SUB",15.0,"Jul 22, 2016",,2027,182cm,78kg,66.0,69.0,59.0,85.0,70.0,79.0,70.0,66.0,84.0,82.0,82.0,90.0,76.0,84.0,68.0,80.0,62.0,86.0,79.0,81.0,81.0,81.0,76.0,80.0,59.0,82.0,80.0,76.0,6.0,10.0,6.0,15.0,8.0,MF,84.0,€130.5M,79.0
228618,F. Mendy,26,https://cdn.sofifa.com/players/228/618/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,83,86,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,43.5,€170K,2148,Left,1.0,5.0,4.0,High/ High,Unique,Yes,"<span class=""pos pos28"">SUB",23.0,"Jul 1, 2019",,2025,180cm,73kg,78.0,63.0,72.0,80.0,50.0,80.0,72.0,35.0,78.0,78.0,91.0,92.0,81.0,82.0,78.0,69.0,79.0,89.0,83.0,64.0,82.0,79.0,80.0,75.0,49.0,78.0,81.0,80.0,7.0,16.0,9.0,10.0,9.0,CB,84.0,€92.4M,77.0
